Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Balance of Trade,1990-12-31T00:00:00,-0.348,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1991-12-31T00:00:00,-0.251,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1992-12-31T00:00:00,0.04,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1993-12-31T00:00:00,-0.939,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1994-12-31T00:00:00,-1.772,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1995-12-31T00:00:00,-2.706,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1996-12-31T00:00:00,-3.888,Monthly,VietnamBT,2020-07-29T08:59:00
Vietnam,Balance of Trade,1997-04-30T00:00:00,-0.2,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-05-31T00:00:00,-0.23,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-06-30T00:00:00,-0.266,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-07-31T00:00:00,-0.35,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-08-31T00:00:00,-0.2,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-09-30T00:00:00,-0.14,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-10-31T00:00:00,-0.22,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1997-11-30T00:00:00,-0.2,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-01-31T00:00:00,-0.149,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-02-28T00:00:00,-0.2,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-03-31T00:00:00,-0.132,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-04-30T00:00:00,-0.12,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-05-31T00:00:00,-0.19,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-06-30T00:00:00,-0.264,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-07-31T00:00:00,-0.12,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-08-31T00:00:00,-0.12,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-09-30T00:00:00,-0.04,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-10-31T00:00:00,-0.14,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-11-30T00:00:00,-0.07,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1998-12-31T00:00:00,-0.08,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-01-31T00:00:00,-0.009,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-02-28T00:00:00,0.01,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-03-31T00:00:00,-0.1,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-04-30T00:00:00,-0.1,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-05-31T00:00:00,-0.03,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-06-30T00:00:00,-0.015,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-07-31T00:00:00,0,Monthly,VietnamBT,2014-08-14T11:31:00
Vietnam,Balance of Trade,1999-08-31T00:00:00,0,Monthly,VietnamBT,2014-08-14T11:31:00
Vietnam,Balance of Trade,1999-09-30T00:00:00,-0.05,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-10-31T00:00:00,-0.033,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-11-30T00:00:00,-0.023,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,1999-12-31T00:00:00,-0.06,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-01-31T00:00:00,-0.01,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-02-29T00:00:00,-0.05,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-03-31T00:00:00,-0.1,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-04-30T00:00:00,-0.05,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-05-31T00:00:00,-0.16,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-06-30T00:00:00,-0.13,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-07-31T00:00:00,-0.03,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-08-31T00:00:00,-0.01,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-10-31T00:00:00,-0.02,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-11-30T00:00:00,-0.06,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2000-12-31T00:00:00,-0.108,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2001-01-31T00:00:00,0.039,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2001-02-28T00:00:00,-0.03,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2001-03-31T00:00:00,-0.06,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2001-04-30T00:00:00,-0.06,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2001-05-31T00:00:00,-0.13,Monthly,VietnamBT,2020-07-29T08:57:00
Vietnam,Balance of Trade,2001-06-30T00:00:00,-0.09,Monthly,VietnamBT,2020-07-29T08:57:00
