Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Capital Flows,2012-03-31T00:00:00,1396,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2012-06-30T00:00:00,1939,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2012-09-30T00:00:00,1645,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2012-12-31T00:00:00,3749,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2013-03-31T00:00:00,1596,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2013-06-30T00:00:00,-2146,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2013-09-30T00:00:00,-936,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2013-12-31T00:00:00,1205,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2014-03-31T00:00:00,6867,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2014-06-30T00:00:00,-625,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2014-09-30T00:00:00,615,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2014-12-31T00:00:00,-1286,Quarterly,VIETNAMCAPFLO,2016-03-30T18:02:00
Vietnam,Capital Flows,2015-03-31T00:00:00,3977,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2015-06-30T00:00:00,1622,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2015-09-30T00:00:00,-5076,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2015-12-31T00:00:00,444,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2016-03-31T00:00:00,2126,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2016-06-30T00:00:00,2944,Quarterly,VIETNAMCAPFLO,2016-10-08T10:26:00
Vietnam,Capital Flows,2016-09-30T00:00:00,1995,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2016-12-31T00:00:00,3632,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2017-03-31T00:00:00,2065,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2017-06-30T00:00:00,4053,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2017-09-30T00:00:00,3021,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2017-12-31T00:00:00,10889,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2018-03-31T00:00:00,4879,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2018-06-30T00:00:00,1429,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2018-09-30T00:00:00,3426,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2018-12-31T00:00:00,-1268,Quarterly,VIETNAMCAPFLO,2019-06-28T10:31:00
Vietnam,Capital Flows,2019-03-31T00:00:00,8247,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2019-06-30T00:00:00,1515,Quarterly,VIETNAMCAPFLO,2021-05-24T13:59:00
Vietnam,Capital Flows,2019-09-30T00:00:00,1449,Quarterly,VIETNAMCAPFLO,2020-10-14T19:25:00
Vietnam,Capital Flows,2019-12-31T00:00:00,7760,Quarterly,VIETNAMCAPFLO,2020-10-14T19:25:00
Vietnam,Capital Flows,2020-03-31T00:00:00,1385,Quarterly,VIETNAMCAPFLO,2021-05-24T14:28:00
Vietnam,Capital Flows,2020-06-30T00:00:00,265,Quarterly,VIETNAMCAPFLO,2021-05-24T14:28:00
Vietnam,Capital Flows,2020-09-30T00:00:00,1267,Quarterly,VIETNAMCAPFLO,2021-05-24T14:28:00
Vietnam,Capital Flows,2020-12-31T00:00:00,5297,Quarterly,VIETNAMCAPFLO,2021-05-24T14:27:00
Vietnam,Capital Flows,2021-03-31T00:00:00,5159,Quarterly,VIETNAMCAPFLO,2022-04-19T12:59:00
Vietnam,Capital Flows,2021-06-30T00:00:00,10083,Quarterly,VIETNAMCAPFLO,2022-04-19T12:58:00
Vietnam,Capital Flows,2021-09-30T00:00:00,8751,Quarterly,VIETNAMCAPFLO,2022-04-19T12:58:00
Vietnam,Capital Flows,2021-12-31T00:00:00,6921,Quarterly,VIETNAMCAPFLO,2022-04-09T10:15:00
Vietnam,Capital Flows,2022-03-31T00:00:00,3504,Quarterly,VIETNAMCAPFLO,2022-07-02T10:17:00
Vietnam,Capital Flows,2022-06-30T00:00:00,8879,Quarterly,VIETNAMCAPFLO,2022-10-01T10:16:00
Vietnam,Capital Flows,2022-09-30T00:00:00,-4932,Quarterly,VIETNAMCAPFLO,2022-12-17T10:24:00
Vietnam,Capital Flows,2022-12-31T00:00:00,2099,Quarterly,VIETNAMCAPFLO,2023-04-01T10:17:00
Vietnam,Capital Flows,2023-03-31T00:00:00,3345,Quarterly,VIETNAMCAPFLO,2023-09-30T10:17:00
Vietnam,Capital Flows,2023-06-30T00:00:00,-2720,Quarterly,VIETNAMCAPFLO,2023-09-30T10:17:00
Vietnam,Capital Flows,2023-09-30T00:00:00,-2775,Quarterly,VIETNAMCAPFLO,2024-04-06T10:17:00
Vietnam,Capital Flows,2023-12-31T00:00:00,-1644,Quarterly,VIETNAMCAPFLO,2024-04-06T10:17:00
Vietnam,Capital Flows,2024-03-31T00:00:00,1442,Quarterly,VIETNAMCAPFLO,2024-08-21T03:12:00
Vietnam,Capital Flows,2024-06-30T00:00:00,-6263,Quarterly,VIETNAMCAPFLO,2024-10-08T04:01:00
Vietnam,Capital Flows,2024-09-30T00:00:00,-2731,Quarterly,VIETNAMCAPFLO,2024-12-16T05:14:00
Vietnam,Capital Flows,2024-12-31T00:00:00,267,Quarterly,VIETNAMCAPFLO,2025-04-16T08:14:00
Vietnam,Capital Flows,2025-03-31T00:00:00,-3514,Quarterly,VIETNAMCAPFLO,2025-07-02T07:55:00
Vietnam,Capital Flows,2025-06-30T00:00:00,-4801,Quarterly,VIETNAMCAPFLO,2025-09-23T01:01:00
Vietnam,Capital Flows,2025-09-30T00:00:00,-591,Quarterly,VIETNAMCAPFLO,2025-12-12T04:39:00
