Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Current Account,1983-12-31T00:00:00,-730,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1984-12-31T00:00:00,-926,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1985-12-31T00:00:00,-891,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1986-12-31T00:00:00,-1423,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1987-12-31T00:00:00,-1360,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1988-12-31T00:00:00,-747,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1989-12-31T00:00:00,-587,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1990-12-31T00:00:00,-259,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1991-12-31T00:00:00,-133,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1992-12-31T00:00:00,-8,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1993-12-31T00:00:00,-767,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1994-12-31T00:00:00,-1166,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1995-12-31T00:00:00,-1868,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1996-12-31T00:00:00,-2020,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1997-12-31T00:00:00,-1528,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1998-12-31T00:00:00,-1074,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,1999-12-31T00:00:00,1177,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2000-12-31T00:00:00,1107,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2001-12-31T00:00:00,682,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2002-12-31T00:00:00,-603,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2003-12-31T00:00:00,-1931,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2004-12-31T00:00:00,-957,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2005-12-31T00:00:00,-560,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2006-12-31T00:00:00,-164,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2007-12-31T00:00:00,-7092,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2008-12-31T00:00:00,-10823,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2009-12-31T00:00:00,-6608,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2010-12-31T00:00:00,-4287,Quarterly,VIETNAMCURACC,2012-11-24T14:51:00
Vietnam,Current Account,2011-12-31T00:00:00,233,Quarterly,VIETNAMCURACC,2013-08-24T15:32:00
Vietnam,Current Account,2012-12-31T00:00:00,9061,Quarterly,VIETNAMCURACC,2014-05-07T11:30:00
Vietnam,Current Account,2013-03-31T00:00:00,2318,Quarterly,VIETNAMCURACC,2015-09-04T17:02:00
Vietnam,Current Account,2013-06-30T00:00:00,799,Quarterly,VIETNAMCURACC,2015-09-04T17:02:00
Vietnam,Current Account,2013-09-30T00:00:00,3084,Quarterly,VIETNAMCURACC,2015-09-04T17:01:00
Vietnam,Current Account,2013-12-31T00:00:00,9471,Quarterly,VIETNAMCURACC,2015-06-20T16:47:00
Vietnam,Current Account,2014-03-31T00:00:00,2559,Quarterly,VIETNAMCURACC,2016-03-30T18:00:00
Vietnam,Current Account,2014-06-30T00:00:00,2.47,Quarterly,VIETNAMCURACC,2016-03-30T17:59:00
Vietnam,Current Account,2014-09-30T00:00:00,2421,Quarterly,VIETNAMCURACC,2016-03-30T17:59:00
Vietnam,Current Account,2014-12-31T00:00:00,1910,Quarterly,VIETNAMCURACC,2016-03-30T17:59:00
Vietnam,Current Account,2015-03-31T00:00:00,-1341,Quarterly,VIETNAMCURACC,2016-03-30T17:58:00
Vietnam,Current Account,2015-06-30T00:00:00,691,Quarterly,VIETNAMCURACC,2016-03-30T17:58:00
