Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Current Account to GDP,1980-12-31T00:00:00,-2,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1981-12-31T00:00:00,-5.3,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1982-12-31T00:00:00,-3.3,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1983-12-31T00:00:00,-2.5,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1984-12-31T00:00:00,-2,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1985-12-31T00:00:00,-6.3,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1986-12-31T00:00:00,-4.4,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1987-12-31T00:00:00,-3.3,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1988-12-31T00:00:00,-3.3,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1989-12-31T00:00:00,-9.3,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1990-12-31T00:00:00,-4,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1991-12-31T00:00:00,-1.7,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1992-12-31T00:00:00,-0.1,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1993-12-31T00:00:00,-10.6,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1994-12-31T00:00:00,-11.5,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1995-12-31T00:00:00,-12.7,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,1996-12-31T00:00:00,-8.2,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1997-12-31T00:00:00,-5.7,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,1998-12-31T00:00:00,-5,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,1999-12-31T00:00:00,4.1,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,2000-12-31T00:00:00,2.7,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2001-12-31T00:00:00,2.8,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2002-12-31T00:00:00,-1.8,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2003-12-31T00:00:00,-4.9,Yearly,VNMCA2GDP,2011-07-18T10:17:00
Vietnam,Current Account to GDP,2004-12-31T00:00:00,-3.2,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2005-12-31T00:00:00,-1,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2006-12-31T00:00:00,-0.2,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2007-12-31T00:00:00,-9,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2008-12-31T00:00:00,-11,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2009-12-31T00:00:00,-6.5,Yearly,VNMCA2GDP,2017-06-23T13:11:00
Vietnam,Current Account to GDP,2010-12-31T00:00:00,-2.9,Yearly,VNMCA2GDP,2022-07-20T17:21:00
Vietnam,Current Account to GDP,2011-12-31T00:00:00,0.2,Yearly,VNMCA2GDP,2012-05-24T18:02:00
Vietnam,Current Account to GDP,2012-12-31T00:00:00,4.7,Yearly,VNMCA2GDP,2022-07-20T17:22:00
Vietnam,Current Account to GDP,2013-12-31T00:00:00,3.6,Yearly,VNMCA2GDP,2022-07-20T17:22:00
Vietnam,Current Account to GDP,2014-12-31T00:00:00,3.7,Yearly,VNMCA2GDP,2022-07-20T17:22:00
Vietnam,Current Account to GDP,2015-12-31T00:00:00,-0.8,Yearly,VNMCA2GDP,2022-07-20T17:22:00
Vietnam,Current Account to GDP,2016-12-31T00:00:00,0.2,Yearly,VNMCA2GDP,2022-07-20T17:23:00
Vietnam,Current Account to GDP,2017-12-31T00:00:00,-0.6,Yearly,VNMCA2GDP,2022-07-20T17:23:00
Vietnam,Current Account to GDP,2018-12-31T00:00:00,1.9,Yearly,VNMCA2GDP,2022-07-20T17:23:00
Vietnam,Current Account to GDP,2019-12-31T00:00:00,3.8,Yearly,VNMCA2GDP,2025-05-06T06:45:00
Vietnam,Current Account to GDP,2020-12-31T00:00:00,4.3,Yearly,VNMCA2GDP,2025-05-06T06:45:00
Vietnam,Current Account to GDP,2021-12-31T00:00:00,-2.2,Yearly,VNMCA2GDP,2025-05-06T06:45:00
Vietnam,Current Account to GDP,2022-12-31T00:00:00,0.3,Yearly,VNMCA2GDP,2025-05-06T06:46:00
Vietnam,Current Account to GDP,2023-12-31T00:00:00,5.9,Yearly,VNMCA2GDP,2025-05-06T06:46:00
Vietnam,Current Account to GDP,2024-12-31T00:00:00,6.1,Yearly,VNMCA2GDP,2025-05-06T06:46:00
