Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Export Prices,1991-12-31T00:00:00,101.7,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1992-12-31T00:00:00,96.5,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1993-12-31T00:00:00,98.5,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1994-12-31T00:00:00,105.9,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1995-12-31T00:00:00,113.1,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1996-12-31T00:00:00,103.5,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1997-12-31T00:00:00,100.4,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1998-12-31T00:00:00,96.6,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,1999-12-31T00:00:00,98.9,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2000-12-31T00:00:00,104.4,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2001-12-31T00:00:00,93.2,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2002-12-31T00:00:00,100.7,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2003-12-31T00:00:00,109.3,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2004-12-31T00:00:00,112,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2005-12-31T00:00:00,113.9,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2006-12-31T00:00:00,107.3,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2007-12-31T00:00:00,107.2,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2008-12-31T00:00:00,124.8,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2009-12-31T00:00:00,88.1,Yearly,VIETNAMEXPPRI,2012-09-29T01:18:00
Vietnam,Export Prices,2010-12-31T00:00:00,110.7,Yearly,VIETNAMEXPPRI,2012-11-02T17:27:00
Vietnam,Export Prices,2011-12-31T00:00:00,119.6,Yearly,VIETNAMEXPPRI,2013-11-02T13:51:00
Vietnam,Export Prices,2012-12-31T00:00:00,119,Yearly,VIETNAMEXPPRI,2025-10-02T02:18:00
Vietnam,Export Prices,2013-12-31T00:00:00,116.1,Yearly,VIETNAMEXPPRI,2025-10-02T02:18:00
Vietnam,Export Prices,2014-12-31T00:00:00,117.4,Yearly,VIETNAMEXPPRI,2025-10-02T02:18:00
Vietnam,Export Prices,2015-12-31T00:00:00,112.9,Yearly,VIETNAMEXPPRI,2025-10-02T02:18:00
Vietnam,Export Prices,2016-12-31T00:00:00,111,Yearly,VIETNAMEXPPRI,2025-10-02T02:18:00
Vietnam,Export Prices,2017-12-31T00:00:00,114.3,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2018-12-31T00:00:00,115.3,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2019-12-31T00:00:00,118.8,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2020-12-31T00:00:00,117.2,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2021-12-31T00:00:00,120.6,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2022-12-31T00:00:00,129.1,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2023-12-31T00:00:00,126.7,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
Vietnam,Export Prices,2024-12-31T00:00:00,128.1,Yearly,VIETNAMEXPPRI,2025-10-02T02:19:00
