Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Exports,1990-12-31T00:00:00,2.404,Monthly,VietnamEx,2020-07-29T09:07:00
Vietnam,Exports,1991-12-31T00:00:00,2.087,Monthly,VietnamEx,2020-07-29T09:07:00
Vietnam,Exports,1992-12-31T00:00:00,2.581,Monthly,VietnamEx,2020-07-29T09:07:00
Vietnam,Exports,1993-12-31T00:00:00,2.985,Monthly,VietnamEx,2020-07-29T09:07:00
Vietnam,Exports,1994-12-31T00:00:00,4.054,Monthly,VietnamEx,2020-07-29T09:07:00
Vietnam,Exports,1995-12-31T00:00:00,5.449,Monthly,VietnamEx,2020-07-29T09:07:00
Vietnam,Exports,1996-12-31T00:00:00,7.256,Monthly,VietnamEx,2020-07-29T09:08:00
Vietnam,Exports,1997-01-31T00:00:00,0.58,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-02-28T00:00:00,0.537,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-03-31T00:00:00,0.671,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-04-30T00:00:00,0.75,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-05-31T00:00:00,0.72,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-06-30T00:00:00,0.734,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-07-31T00:00:00,0.75,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-08-31T00:00:00,0.7,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-09-30T00:00:00,0.76,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-10-31T00:00:00,0.7,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-11-30T00:00:00,0.78,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1997-12-31T00:00:00,1.005,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-01-31T00:00:00,0.712,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-02-28T00:00:00,0.7,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-03-31T00:00:00,0.788,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-04-30T00:00:00,0.88,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-05-31T00:00:00,0.73,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-06-30T00:00:00,0.788,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-07-31T00:00:00,0.78,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-08-31T00:00:00,0.76,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-09-30T00:00:00,0.74,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-10-31T00:00:00,0.74,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-11-30T00:00:00,0.78,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1998-12-31T00:00:00,0.82,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-01-31T00:00:00,0.75,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-02-28T00:00:00,0.75,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-03-31T00:00:00,0.78,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-04-30T00:00:00,0.8,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-05-31T00:00:00,0.9,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-06-30T00:00:00,0.925,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-07-31T00:00:00,1.03,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-08-31T00:00:00,1,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-09-30T00:00:00,0.92,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-10-31T00:00:00,0.998,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-11-30T00:00:00,1.135,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,1999-12-31T00:00:00,1.14,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-01-31T00:00:00,1.094,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-02-29T00:00:00,0.85,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-03-31T00:00:00,1,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-04-30T00:00:00,1.1,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-05-31T00:00:00,1.06,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-06-30T00:00:00,1.22,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-07-31T00:00:00,1.22,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-08-31T00:00:00,1.34,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-09-30T00:00:00,1.4,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-10-31T00:00:00,1.28,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-11-30T00:00:00,1.32,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2000-12-31T00:00:00,1.3,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-01-31T00:00:00,1.091,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-02-28T00:00:00,1.12,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-03-31T00:00:00,1.3205,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-04-30T00:00:00,1.31,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-05-31T00:00:00,1.32,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-06-30T00:00:00,1.37,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-07-31T00:00:00,1.4103,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-08-31T00:00:00,1.45,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-09-30T00:00:00,1.6,Monthly,VietnamEx,2020-07-29T09:01:00
Vietnam,Exports,2001-10-31T00:00:00,1.56,Monthly,VietnamEx,2020-07-29T09:01:00
