Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,GDP,1985-12-31T00:00:00,14.09,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1986-12-31T00:00:00,26.34,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1987-12-31T00:00:00,36.66,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1988-12-31T00:00:00,25.42,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1989-12-31T00:00:00,6.29,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1990-12-31T00:00:00,6.47,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1991-12-31T00:00:00,9.61,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1992-12-31T00:00:00,9.87,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1993-12-31T00:00:00,13.18,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1994-12-31T00:00:00,16.29,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1995-12-31T00:00:00,20.74,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1996-12-31T00:00:00,24.66,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1997-12-31T00:00:00,26.84,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1998-12-31T00:00:00,27.21,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,1999-12-31T00:00:00,28.68,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,2000-12-31T00:00:00,31.17,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,2001-12-31T00:00:00,32.69,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,2002-12-31T00:00:00,35.06,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,2003-12-31T00:00:00,39.55,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,2004-12-31T00:00:00,45.43,Yearly,VietnamGDP,2018-01-10T17:51:00
Vietnam,GDP,2005-12-31T00:00:00,57.63,Yearly,VietnamGDP,2011-06-27T00:00:00
Vietnam,GDP,2006-12-31T00:00:00,66.37,Yearly,VietnamGDP,2011-08-02T13:41:00
Vietnam,GDP,2007-12-31T00:00:00,77.41,Yearly,VietnamGDP,2011-08-02T13:41:00
Vietnam,GDP,2008-12-31T00:00:00,99.13,Yearly,VietnamGDP,2011-08-02T13:40:00
Vietnam,GDP,2009-12-31T00:00:00,106.01,Yearly,VietnamGDP,2011-08-02T13:40:00
Vietnam,GDP,2010-12-31T00:00:00,147.2,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2011-12-31T00:00:00,172.6,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2012-12-31T00:00:00,195.59,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2013-12-31T00:00:00,213.71,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2014-12-31T00:00:00,233.45,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2015-12-31T00:00:00,239.26,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2016-12-31T00:00:00,257.1,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2017-12-31T00:00:00,281.35,Yearly,VietnamGDP,2022-07-18T12:17:00
Vietnam,GDP,2018-12-31T00:00:00,310.11,Yearly,VietnamGDP,2022-12-30T12:46:00
Vietnam,GDP,2019-12-31T00:00:00,334.37,Yearly,VietnamGDP,2022-12-30T12:46:00
Vietnam,GDP,2020-12-31T00:00:00,346.62,Yearly,VietnamGDP,2022-12-30T12:46:00
Vietnam,GDP,2021-12-31T00:00:00,366.47,Yearly,VietnamGDP,2024-07-02T02:55:00
Vietnam,GDP,2022-12-31T00:00:00,413.45,Yearly,VietnamGDP,2025-07-01T14:52:00
Vietnam,GDP,2023-12-31T00:00:00,433.86,Yearly,VietnamGDP,2025-07-01T14:52:00
Vietnam,GDP,2024-12-31T00:00:00,476.39,Yearly,VietnamGDP,2025-07-01T14:52:00
