Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,GDP per Capita,1984-12-31T00:00:00,595.4913,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1985-12-31T00:00:00,603.9775,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1986-12-31T00:00:00,607.59,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1987-12-31T00:00:00,616.7151,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1988-12-31T00:00:00,635.3982,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1989-12-31T00:00:00,668.3232,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1990-12-31T00:00:00,687.8603,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1991-12-31T00:00:00,713.7472,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1992-12-31T00:00:00,759.9109,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1993-12-31T00:00:00,805.6064,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1994-12-31T00:00:00,861.1224,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1995-12-31T00:00:00,927.6255,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1996-12-31T00:00:00,998.9249,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1997-12-31T00:00:00,1064.778,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1998-12-31T00:00:00,1110.1127,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,1999-12-31T00:00:00,1148.0447,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2000-12-31T00:00:00,1212.1966,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2001-12-31T00:00:00,1273.8053,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2002-12-31T00:00:00,1340.5167,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2003-12-31T00:00:00,1418.7434,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2004-12-31T00:00:00,1510.9445,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2005-12-31T00:00:00,1609.9627,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2006-12-31T00:00:00,1699.6762,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2007-12-31T00:00:00,1788.9485,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2008-12-31T00:00:00,1856.0052,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2009-12-31T00:00:00,1927.1343,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2010-12-31T00:00:00,2027.5818,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2011-12-31T00:00:00,2132.9045,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2012-12-31T00:00:00,2224.114,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2013-12-31T00:00:00,2320.0843,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2014-12-31T00:00:00,2439.2866,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2015-12-31T00:00:00,2577.5689,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2016-12-31T00:00:00,2715.5789,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2017-12-31T00:00:00,2868.1368,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2018-12-31T00:00:00,3048.2833,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2019-12-31T00:00:00,3241.0765,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2020-12-31T00:00:00,3303.1695,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2021-12-31T00:00:00,3358.2173,Yearly,VNMNYGDPPCAPKD,2025-02-24T01:50:00
Vietnam,GDP per Capita,2022-12-31T00:00:00,3617.66,Yearly,VNMNYGDPPCAPKD,2025-07-01T14:52:00
Vietnam,GDP per Capita,2023-12-31T00:00:00,3775.46,Yearly,VNMNYGDPPCAPKD,2025-07-01T14:52:00
Vietnam,GDP per Capita,2024-12-31T00:00:00,4017.75,Yearly,VNMNYGDPPCAPKD,2025-07-01T14:52:00
