Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Government Budget,1988-12-31T00:00:00,-9.9,Yearly,VietnamGB,2012-05-24T17:57:00
Vietnam,Government Budget,1990-12-31T00:00:00,-7.2,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1991-12-31T00:00:00,-0.7,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1992-12-31T00:00:00,-0.8,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1993-12-31T00:00:00,-3.4,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1994-12-31T00:00:00,-2.2,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1995-12-31T00:00:00,-1.3,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1996-12-31T00:00:00,-0.9,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1997-12-31T00:00:00,-3.9,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1998-12-31T00:00:00,-1.6,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,1999-12-31T00:00:00,-3.3,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,2000-12-31T00:00:00,-4.3,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,2001-12-31T00:00:00,-3.5,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,2002-12-31T00:00:00,-2.3,Yearly,VietnamGB,2011-06-27T00:00:00
Vietnam,Government Budget,2003-12-31T00:00:00,-0.7,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2004-12-31T00:00:00,1.6,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2005-12-31T00:00:00,1,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2006-12-31T00:00:00,2,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2007-12-31T00:00:00,0,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2008-12-31T00:00:00,1.4,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2009-12-31T00:00:00,-2.3,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2010-12-31T00:00:00,0.1,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2011-12-31T00:00:00,0.6,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2012-12-31T00:00:00,-5.5,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2013-12-31T00:00:00,-5.7,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2014-12-31T00:00:00,-4.1,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2015-12-31T00:00:00,-4.4,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2016-12-31T00:00:00,-2.2,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2017-12-31T00:00:00,-1.2,Yearly,VietnamGB,2023-04-20T08:46:00
Vietnam,Government Budget,2018-12-31T00:00:00,-0.1,Yearly,VietnamGB,2023-04-20T08:43:00
Vietnam,Government Budget,2019-12-31T00:00:00,0.4,Yearly,VietnamGB,2023-04-20T08:43:00
Vietnam,Government Budget,2020-12-31T00:00:00,-3.2,Yearly,VietnamGB,2023-04-20T08:43:00
Vietnam,Government Budget,2021-12-31T00:00:00,-3.4111,Yearly,VietnamGB,2024-03-23T10:00:00
Vietnam,Government Budget,2022-12-31T00:00:00,-4.1,Yearly,VietnamGB,2024-03-26T17:42:00
Vietnam,Government Budget,2023-12-31T00:00:00,-4,Yearly,VietnamGB,2024-03-26T17:40:00
Vietnam,Government Budget,2024-12-31T00:00:00,-3.6,Yearly,VietnamGB,2026-01-12T07:41:00
