Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Government Debt to GDP,2000-12-31T00:00:00,24.8,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2001-12-31T00:00:00,25.4,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2002-12-31T00:00:00,27.7,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2003-12-31T00:00:00,29.8,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2004-12-31T00:00:00,29.4,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2005-12-31T00:00:00,28.7,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2006-12-31T00:00:00,30.2,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2007-12-31T00:00:00,32.2,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2008-12-31T00:00:00,31,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2009-12-31T00:00:00,36.3,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2010-12-31T00:00:00,36.8,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2011-12-31T00:00:00,35.8,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2012-12-31T00:00:00,38.3,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2013-12-31T00:00:00,41.4,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2014-12-31T00:00:00,43.6,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2015-12-31T00:00:00,46.1,Yearly,VNMDebt2GDP,2021-03-01T23:07:00
Vietnam,Government Debt to GDP,2016-12-31T00:00:00,47.9,Yearly,VNMDebt2GDP,2025-05-15T04:11:00
Vietnam,Government Debt to GDP,2017-12-31T00:00:00,46.6,Yearly,VNMDebt2GDP,2025-05-15T04:11:00
Vietnam,Government Debt to GDP,2018-12-31T00:00:00,43.8,Yearly,VNMDebt2GDP,2025-05-15T04:11:00
Vietnam,Government Debt to GDP,2019-12-31T00:00:00,41,Yearly,VNMDebt2GDP,2025-05-15T04:11:00
Vietnam,Government Debt to GDP,2020-12-31T00:00:00,41.3,Yearly,VNMDebt2GDP,2023-06-26T10:02:00
Vietnam,Government Debt to GDP,2021-12-31T00:00:00,39.2,Yearly,VNMDebt2GDP,2025-05-15T04:11:00
Vietnam,Government Debt to GDP,2022-12-31T00:00:00,34.9,Yearly,VNMDebt2GDP,2025-05-15T04:11:00
Vietnam,Government Debt to GDP,2023-12-31T00:00:00,34.4,Yearly,VNMDebt2GDP,2025-05-15T04:10:00
Vietnam,Government Debt to GDP,2024-12-31T00:00:00,32.9,Yearly,VNMDebt2GDP,2025-05-15T04:09:00
