Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Gross National Product,1990-12-31T00:00:00,39284,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,1991-12-31T00:00:00,72620,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,1992-12-31T00:00:00,106757,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,1993-12-31T00:00:00,134913,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,1994-12-31T00:00:00,174017,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,1995-12-31T00:00:00,228677,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,1996-12-31T00:00:00,269654,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,1997-12-31T00:00:00,308600,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,1998-12-31T00:00:00,352836,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,1999-12-31T00:00:00,392693,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,2000-12-31T00:00:00,435319,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,2001-12-31T00:00:00,474855,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,2002-12-31T00:00:00,527056,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,2003-12-31T00:00:00,603688,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,2004-12-31T00:00:00,701906,Yearly,VIETNAMGRONATPRO,2012-09-29T01:18:00
Vietnam,Gross National Product,2005-12-31T00:00:00,897222,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,2006-12-31T00:00:00,1038755,Yearly,VIETNAMGRONATPRO,2021-07-20T13:44:00
Vietnam,Gross National Product,2007-12-31T00:00:00,1211806,Yearly,VIETNAMGRONATPRO,2021-07-20T13:44:00
Vietnam,Gross National Product,2008-12-31T00:00:00,1567964,Yearly,VIETNAMGRONATPRO,2021-07-20T13:44:00
Vietnam,Gross National Product,2009-12-31T00:00:00,1731221,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,2010-12-31T00:00:00,2654839,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2011-12-31T00:00:00,3440740,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2012-12-31T00:00:00,3944024,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,2013-12-31T00:00:00,4320072,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,2014-12-31T00:00:00,4749964,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2015-12-31T00:00:00,4927884,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2016-12-31T00:00:00,5329177,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2017-12-31T00:00:00,5913669,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2018-12-31T00:00:00,6651468,Yearly,VIETNAMGRONATPRO,2023-08-14T08:41:00
Vietnam,Gross National Product,2019-12-31T00:00:00,7320005,Yearly,VIETNAMGRONATPRO,2026-03-09T10:17:00
Vietnam,Gross National Product,2020-12-31T00:00:00,7700498,Yearly,VIETNAMGRONATPRO,2023-08-14T08:35:00
Vietnam,Gross National Product,2021-12-31T00:00:00,8053249,Yearly,VIETNAMGRONATPRO,2024-09-25T03:28:00
Vietnam,Gross National Product,2022-12-31T00:00:00,9162156,Yearly,VIETNAMGRONATPRO,2026-01-12T07:37:00
Vietnam,Gross National Product,2023-12-31T00:00:00,9784497,Yearly,VIETNAMGRONATPRO,2026-03-09T10:13:00
Vietnam,Gross National Product,2024-12-31T00:00:00,11131020,Yearly,VIETNAMGRONATPRO,2026-03-09T10:13:00
