Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Imports,1990-12-31T00:00:00,2.752,Monthly,VietnamIm,2020-07-29T09:09:00
Vietnam,Imports,1991-12-31T00:00:00,2.338,Monthly,VietnamIm,2020-07-29T09:09:00
Vietnam,Imports,1992-12-31T00:00:00,2.541,Monthly,VietnamIm,2020-07-29T09:09:00
Vietnam,Imports,1993-12-31T00:00:00,3.924,Monthly,VietnamIm,2020-07-29T09:10:00
Vietnam,Imports,1994-12-31T00:00:00,5.826,Monthly,VietnamIm,2020-07-29T09:10:00
Vietnam,Imports,1995-12-31T00:00:00,8.155,Monthly,VietnamIm,2020-07-29T09:10:00
Vietnam,Imports,1996-12-31T00:00:00,11.144,Monthly,VietnamIm,2020-07-29T09:10:00
Vietnam,Imports,1997-04-30T00:00:00,0.95,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-05-31T00:00:00,0.95,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-06-30T00:00:00,1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-07-31T00:00:00,1.1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-08-31T00:00:00,0.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-09-30T00:00:00,0.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-10-31T00:00:00,0.92,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-11-30T00:00:00,0.98,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1997-12-31T00:00:00,0.861,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-01-31T00:00:00,0.861,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-02-28T00:00:00,0.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-03-31T00:00:00,0.92,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-04-30T00:00:00,1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-05-31T00:00:00,0.92,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-06-30T00:00:00,1.052,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-07-31T00:00:00,0.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-08-31T00:00:00,0.88,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-09-30T00:00:00,0.78,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-10-31T00:00:00,0.88,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-11-30T00:00:00,0.85,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1998-12-31T00:00:00,0.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-01-31T00:00:00,0.759,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-02-28T00:00:00,0.74,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-03-31T00:00:00,0.88,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-04-30T00:00:00,0.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-05-31T00:00:00,0.93,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-06-30T00:00:00,0.94,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-07-31T00:00:00,1.03,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-08-31T00:00:00,1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-09-30T00:00:00,0.97,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-10-31T00:00:00,1.0309,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,1999-11-30T00:00:00,1.158,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,1999-12-31T00:00:00,1.2,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-01-31T00:00:00,1.104,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-02-29T00:00:00,0.8999,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2000-03-31T00:00:00,1.1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-04-30T00:00:00,1.15,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-05-31T00:00:00,1.22,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-06-30T00:00:00,1.35,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-07-31T00:00:00,1.25,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-08-31T00:00:00,1.35,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-09-30T00:00:00,1.265,Monthly,VietnamIm,2021-04-12T09:45:00
Vietnam,Imports,2000-10-31T00:00:00,1.3,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-11-30T00:00:00,1.38,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2000-12-31T00:00:00,1.408,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2001-01-31T00:00:00,1.052,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2001-02-28T00:00:00,1.15,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2001-03-31T00:00:00,1.38,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2001-04-30T00:00:00,1.37,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2001-05-31T00:00:00,1.4499,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2001-06-30T00:00:00,1.46,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2001-07-31T00:00:00,1.4,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2001-08-31T00:00:00,1.42,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2001-10-31T00:00:00,1.59,Monthly,VietnamIm,2021-04-12T09:45:00
Vietnam,Imports,2001-11-30T00:00:00,1.38,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2001-12-31T00:00:00,1.458,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-01-31T00:00:00,1.3,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-02-28T00:00:00,1.12,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-03-31T00:00:00,1.35,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-04-30T00:00:00,1.38,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-05-31T00:00:00,1.55,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-06-30T00:00:00,1.56,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-07-31T00:00:00,1.55,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-08-31T00:00:00,1.65,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-09-30T00:00:00,1.711,Monthly,VietnamIm,2021-04-12T09:45:00
Vietnam,Imports,2002-10-31T00:00:00,1.67,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-11-30T00:00:00,1.75,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2002-12-31T00:00:00,1.828,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-01-31T00:00:00,1.624,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-02-28T00:00:00,1.4,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-03-31T00:00:00,1.67,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-04-30T00:00:00,1.8,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-05-31T00:00:00,2.2,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-06-30T00:00:00,2.05,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-07-31T00:00:00,1.95,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-08-31T00:00:00,1.95,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-09-30T00:00:00,2.1728,Monthly,VietnamIm,2021-04-12T09:46:00
Vietnam,Imports,2003-10-31T00:00:00,1.92,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-11-30T00:00:00,2.05,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2003-12-31T00:00:00,2.25,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-01-31T00:00:00,1.86,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-02-29T00:00:00,1.83,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-03-31T00:00:00,2.2,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-04-30T00:00:00,2.3,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-05-31T00:00:00,2.5,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-06-30T00:00:00,2.53,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-07-31T00:00:00,2.55,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-08-31T00:00:00,2.58,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-09-30T00:00:00,2.65,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-10-31T00:00:00,2.55,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-11-30T00:00:00,2.75,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2004-12-31T00:00:00,3.1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-01-31T00:00:00,2.844,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-02-28T00:00:00,2.35,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-03-31T00:00:00,2.8,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-04-30T00:00:00,3.15,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-05-31T00:00:00,3.15,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-06-30T00:00:00,3.3,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-07-31T00:00:00,3.15,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-08-31T00:00:00,3.1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-09-30T00:00:00,3.1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-10-31T00:00:00,3.2,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-11-30T00:00:00,3.1,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2005-12-31T00:00:00,3.3,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-01-31T00:00:00,3.15,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-02-28T00:00:00,2.8,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-03-31T00:00:00,3.2,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-04-30T00:00:00,3.5,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-05-31T00:00:00,3.6,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-06-30T00:00:00,4,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-07-31T00:00:00,4.05,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-08-31T00:00:00,4,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-09-30T00:00:00,3.9,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-10-31T00:00:00,4.05,Monthly,VietnamIm,2020-07-29T09:03:00
Vietnam,Imports,2006-11-30T00:00:00,4.1,Monthly,VietnamIm,2020-07-29T09:03:00
