Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Interest Rate,2000-04-05T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-05-31T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-06-30T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-07-31T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-08-01T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-09-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-10-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-11-06T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2000-12-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-01-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-02-28T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-03-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-04-01T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-05-31T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-06-30T00:00:00,5.4,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-07-01T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-08-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-09-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-10-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-11-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2001-12-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-01-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-02-28T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-03-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-04-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-05-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-06-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-07-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-08-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-09-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-10-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-11-30T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2002-12-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-01-31T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-02-28T00:00:00,4.8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-03-01T00:00:00,6.6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-04-30T00:00:00,6.6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-05-31T00:00:00,6.6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-06-01T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-07-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-08-01T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-09-30T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-10-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-11-30T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2003-12-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-01-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-02-29T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-03-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-04-30T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-05-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-06-30T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-07-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-08-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-09-30T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-10-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-11-30T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2004-12-31T00:00:00,5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-01-15T00:00:00,5.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-02-28T00:00:00,5.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-03-31T00:00:00,5.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-04-01T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-05-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-06-30T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-07-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-08-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-09-30T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-10-31T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-11-30T00:00:00,6,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2005-12-01T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-01-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-02-28T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-03-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-04-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-05-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-06-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-07-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-08-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-09-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-10-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-11-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2006-12-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-01-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-02-28T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-03-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-04-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-05-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-06-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-07-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-08-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-09-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-10-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-11-30T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2007-12-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-01-31T00:00:00,6.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-02-01T00:00:00,7.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-03-31T00:00:00,7.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-04-30T00:00:00,7.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-05-19T00:00:00,13,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-06-11T00:00:00,15,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-07-31T00:00:00,15,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-08-31T00:00:00,15,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-09-30T00:00:00,15,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-10-21T00:00:00,14,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-11-05T00:00:00,13,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-11-21T00:00:00,12,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-12-05T00:00:00,11,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2008-12-22T00:00:00,9.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2009-01-31T00:00:00,9.5,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2009-02-01T00:00:00,8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2009-03-31T00:00:00,8,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2009-04-10T00:00:00,7,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2009-05-31T00:00:00,7,Daily,VietnamIntRate,2013-06-03T16:45:00
Vietnam,Interest Rate,2009-06-30T00:00:00,7,Daily,VietnamIntRate,2013-06-03T16:45:00
