Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Terms of Trade,1991-12-31T00:00:00,100,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1992-12-31T00:00:00,101.79,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1993-12-31T00:00:00,98.11,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1994-12-31T00:00:00,102.62,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1995-12-31T00:00:00,105.41,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1996-12-31T00:00:00,98.76,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1997-12-31T00:00:00,97,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1998-12-31T00:00:00,98.57,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,1999-12-31T00:00:00,109.77,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2000-12-31T00:00:00,100.97,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2001-12-31T00:00:00,94.81,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2002-12-31T00:00:00,100.8,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2003-12-31T00:00:00,105.71,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2004-12-31T00:00:00,102.19,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2005-12-31T00:00:00,105.66,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2006-12-31T00:00:00,103.37,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2007-12-31T00:00:00,102,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2008-12-31T00:00:00,105.58,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2009-12-31T00:00:00,99.66,Yearly,VIETNAMTEROFTRA,2012-09-29T01:18:00
Vietnam,Terms of Trade,2010-12-31T00:00:00,104.83,Yearly,VIETNAMTEROFTRA,2012-11-02T17:28:00
Vietnam,Terms of Trade,2011-12-31T00:00:00,99.54,Yearly,VIETNAMTEROFTRA,2013-11-02T13:51:00
Vietnam,Terms of Trade,2012-12-31T00:00:00,99.79,Yearly,VIETNAMTEROFTRA,2014-08-14T20:09:00
Vietnam,Terms of Trade,2013-12-31T00:00:00,99.94,Yearly,VIETNAMTEROFTRA,2015-06-20T16:47:00
Vietnam,Terms of Trade,2014-12-31T00:00:00,102.18,Yearly,VIETNAMTEROFTRA,2015-07-24T10:04:00
Vietnam,Terms of Trade,2015-12-31T00:00:00,102.15,Yearly,VIETNAMTEROFTRA,2025-10-02T02:23:00
Vietnam,Terms of Trade,2016-12-31T00:00:00,103.85,Yearly,VIETNAMTEROFTRA,2025-10-02T02:23:00
Vietnam,Terms of Trade,2017-12-31T00:00:00,100.35,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2018-12-31T00:00:00,98.44,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2019-12-31T00:00:00,102.41,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2020-12-31T00:00:00,99.26,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2021-12-31T00:00:00,97.51,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2022-12-31T00:00:00,98.63,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2023-12-31T00:00:00,102.95,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
Vietnam,Terms of Trade,2024-12-31T00:00:00,103.15,Yearly,VIETNAMTEROFTRA,2025-10-02T02:24:00
