Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Unemployment Rate,1998-12-31T00:00:00,4.5,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,1999-12-31T00:00:00,4.4,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2000-12-31T00:00:00,2.3,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2001-12-31T00:00:00,2.5,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2002-12-31T00:00:00,2.2,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2003-12-31T00:00:00,2.2,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2004-12-31T00:00:00,2.1,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2005-12-31T00:00:00,2.5,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2006-12-31T00:00:00,2.3,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2007-12-31T00:00:00,2,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2008-12-31T00:00:00,2.4,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2009-12-31T00:00:00,2.9,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2010-12-31T00:00:00,2.9,Quarterly,VietnamUR,2011-06-27T00:00:00
Vietnam,Unemployment Rate,2011-12-31T00:00:00,2.3,Quarterly,VietnamUR,2012-02-14T16:30:00
Vietnam,Unemployment Rate,2012-03-31T00:00:00,2.08,Quarterly,VietnamUR,2012-12-21T10:56:00
Vietnam,Unemployment Rate,2012-06-30T00:00:00,1.87,Quarterly,VietnamUR,2012-12-21T10:56:00
Vietnam,Unemployment Rate,2012-09-30T00:00:00,2.06,Quarterly,VietnamUR,2012-12-21T10:56:00
Vietnam,Unemployment Rate,2012-12-31T00:00:00,1.81,Quarterly,VietnamUR,2013-04-22T11:54:00
Vietnam,Unemployment Rate,2013-03-31T00:00:00,2.27,Quarterly,VietnamUR,2018-10-30T12:58:00
Vietnam,Unemployment Rate,2013-06-30T00:00:00,2.17,Quarterly,VietnamUR,2018-10-30T12:58:00
Vietnam,Unemployment Rate,2013-09-30T00:00:00,2.32,Quarterly,VietnamUR,2018-10-30T12:58:00
